,Title,Images,Summary,Aurthor,Category,ID
10,Sydney PopOut Map (PopOut Maps),http://ecx.images-amazon.com/images/I/51A9vJZdIGL.jpg,"<span><span>The ultimate pocket map of Sydney.</span></span><br /><br /><span><span>Explore the gorgeous city of Sydney with the help of this genuinely pocket-sized, pop-up map. Small in size yet big on detail, this compact, dependable, city map will ensure you don&#39;t miss a thing.</span></span><br /><br /><span><span>* Includes 2 PopOut maps &ndash; a detailed street by street plan of the city centre as well as an overview map of greater Sydney</span></span><br /><br /><span><span>* Additional maps of Darling Harbour, the Sydney area and the cityrail network are also included</span></span><br /><br /><span><span>* Handy, self-folding, tourist map - small enough to fit in your pocket yet offers extensive coverage of the city in an easy-to-use format</span></span><br /><br /><span><span>* Thorough street index is also featured and cross-referenced to the map so you can easily find your destination</span></span><br /><br /><span><span>* Key places of interest are listed offering you advice on the best things to see</span></span>",,Travel,1845879619
11,The Unofficial Guide to Universal Orlando,http://ecx.images-amazon.com/images/I/51J%2B8oIdDZL.jpg,"<div>Compiled and written by a former Universal Orlando employee, and based upon decades of research from a team whose work has been cited by such diverse sources as <I>USA Today</I> and <I>Operations Research Forum,</I> <I>The Unofficial Guide to Universal Orlando</I> is packed with detailed, specific information on every ride, show, and restaurant in the resort, including insider insight on Harry Potter's Hogsmeade and Diagon Alley attractions.<br><BR>Step-by-step detailed touring plans allow you to make the most of every minute and dollar during your Universal Orlando vacation. Where to find the cheapest Universal Orlando admission tickets, how to save big on Universal on-site hotel rooms and skip the regular lines in the parks, when to visit Universal Orlando for the lightest crowds, and everything else you need to know for a stress-free Universal Orlando experience.",Seth Kubersky,Parenting & Relationships,1628090308
12,Beyond Bitcoin: The Economics of Digital Currencies,http://ecx.images-amazon.com/images/I/51eRCq3FrTL.jpg,"<p>Digital currencies are a fairly new phenomenon brought about by the spectacular rise of the internet. While Bitcoin is the most famous, there are numerous other digital currencies―from Amazon Coin to Zetacoin. Beyond Bitcoin explores the economic forces underlying the design of their features and their potential. Halaburda and Sarvary argue that digital currencies are best understood by considering the economic incentives driving their creators and users. The authors present a framework that will allow systemic analysis of this dynamic environment and support further discussion of the design of digital currencies' features and the competition in the market.<br/></p>",Hanna Halaburda,Computers & Technology,1137506415
13,The PowerScore LSAT Logical Reasoning Bible Flashcards (Powerscore Test Preparation),http://ecx.images-amazon.com/images/I/51sGGrGHy4L.jpg,"The PowerScore LSAT Logical Reasoning Bible Flashcards are meant to accompany the<i> PowerScore LSAT Logical Reasoning Bible</i> and provide test takers with an ordered and easily referenced means of reviewing the information contained in this groundbreaking book. Why is it important to have a solid grasp of Logical Reasoning concepts? Because the two Logical Reasoning sections of the LSAT comprise half of the scored portion of the exam, and Logical Reasoning concepts are also tested in the Logic Games and Reading Comprehension sections of the test. <BR> This set of 300 cards will allow you to review and memorize Logical Reasoning terminology, help you to develop the ability to asses various types of argumentation, and aid you in recognizing and responding to each distinct question type. <BR><BR> Each flashcard is 5.2 x 3.25 and contains a question on the front and a detailed answer on the back. Some of the cards are quite simple and will test fundamental concepts or basic definitions, while others provide the opportunity for diagramming statements and relationships. Each card is numbered sequentially from the most basic concepts to more advanced ideas discussed in the LSAT Logical Reasoning Bible. The cards are also numbered so that specific concepts are grouped together (basic logical reasoning, conditional reasoning, causal reasoning, various question types) to further assist you. Review the cards in numerical order until you feel comfortable with the information covered; later mix the cards up so that you encounter the concepts in a more random fashion. <BR> <BR>Although the cards review and reinforce the concepts described in the LSAT Logical Reasoning Bible, they are also an excellent supplement to the PowerScore LSAT courses and several other LSAT publications. Use this portable and concise preparation aid to study at the office, at home, or anywhere you go!",David M. Killoran,Test Preparation,098017824X
14,Twill Thrills: The Best of Weaver's (Best of Weaver's series),http://ecx.images-amazon.com/images/I/516BK4R8BTL.jpg,"The best twill articles from thirteen years of <IT>Weaver's Magazine<RO> issues are featured in this compendium that also includes more than thirty projects featuring simple twills, twill, blocks, and directions for weaving scarves and table linens. Original.",,"Crafts, Hobbies & Home",189376219X
15,"Love Stage!!, Vol. 2",http://ecx.images-amazon.com/images/I/51qJK6COKlL.jpg,"Izumi Sena is an average guy born into a family of famous celebrities. A college student and total otaku, he works hard every day with the goal of someday becoming a manga creator.<BR><BR> Izumi Sena is an average guy born into a family of famous celebrities. A college student and total otaku, he works hard every day with the goal of someday becoming a manga creator. But right now, he&#8217;s somehow found himself stuck doing a commercial with popular actor Ryoma Ichijo. To make matters worse, Ryoma makes the situation even more awkward by professing his undying love. Izumi tries to convince him they should first start out as friends, but somehow things get more intimate. Has the romance flag finally been raised?",Eiki Eiki,Comics & Graphic Novels,1421579928
16,Trout: An Illustrated History,http://ecx.images-amazon.com/images/I/51hETeXa7TL.jpg,"Having developed a passion for fishing as a boy, James Prosek searched in vain for a book that catalogued the trout he had come to treasure. Then he began painting them himself, inspired by John James Audubon's classic bird portraits. This is the dazzlingly beautiful result, with more than seventy original watercolors by a true prodigy--only twenty years old and already considered &quot;a fair bid to become the Audubon of the fishing world&quot; (<b>The New York Times</b>).<br>&#160;&#160;&#160;&#160; The trout of North America range from the Pacific to the Atlantic, and from the Arctic Circle to the Tropic of Cancer. No other book pictures all of the popular varieties, much less the rare, exotic, and in some cases extinct species, subspecies, and strains included in this comprehensive collection. Char; Apache, Gila, and Mexican trout; rainbow, redband, and golden trout; cutthroat trout; brown trout and Atlantic salmon--each of these, and many more, are captured in vivid watercolors, along with engaging, informative descriptions of their evolution and habitats.<br>&#160;&#160;&#160;&#160; With youthful passion and stunning accuracy, James Prosek celebrates as never before the indelicble beauty and variety of the trout, and makes an eloquent plea for its preservation. An unprecedented reference, <b>Trout</b> is essential for the serious angler--and a glorious introduction for anyone who loves fishing and the outdoors.",James Prosek,Sports & Outdoors,067944453X
17,"Vegan recipes in 30 minutes: quick, simple and delicious recipes with ingredients are easy to find in your local store",http://ecx.images-amazon.com/images/I/51p7KcvNuuL.jpg,"<h2>Vegan recipes in 30 minutes: quick, simple and delicious recipes with ingredients are easy to find in your local store</h2> <p>Are you craving real, whole foods that will keep your mind clear and will nourish your body from the inside out? Do you want to make a vegan recipes process more simple and less time consuming? Do you want to make cost-effective vegan recipes with ingredients that easily be found at local markets?</p><h2>The “Vegan recipes in 30 minutes: quick, simple and delicious recipes with ingredients are easy to find in your local store ” ebook will make your vegan recipes delicious and simple.</h2><p></p><ul> You will know what vegan diet truly means</li> We’ll move to practical tips and tricks when it comes to cooking and eating tasty vegan meals without breaking the bank, as well as practical kitchen advice to help you cook like a pro</li> Jump to the “Vegan Cooking Tips for Easy Weeknight Cooking” where we have all your questions answered!</li> Finally, you can enjoy 50 healthy and delicious recipes, divided into several categories. From grab-n-go breakfasts and portable lunch ideas, to mouthwatering dinner recipes that feed a crowd and healthy meals that won’t expand your waistline – the Vegan recipes in 30 minutes will have a recipe fix for all of your kitchen conundrums</li></ul><p></p> <h2>Join us on the vegan journey and enjoy the rainbow on your plate!</h2>",Amanda Rice,"Health, Fitness & Dieting",151224922X
18,Telecom For Dummies,http://ecx.images-amazon.com/images/I/51TWFw1xQZL.jpg,"<ul> Worldwide telecom spending was over $4 trillion in 2004, andvirtually all 12 million businesses in the U.S. buy phone and othertelecom services</li> Our book shows people at small and medium-sized businesses howto make sense of telecom lingo and get the best deals</li> Includes an overview of the major players in the telecomindustry and an easy-to-understand explanation of the existingtelecom infrastructure</li> Helps people pinpoint the telecom services best suited to theirbusiness needs, understand billing, and troubleshoot problems</li> Covers emerging industry trends, such as Voice over InternetProtocol (VoIP), and how they can help businesses cut costs</li></ul>",Stephen P. Olejniczak,Reference,047177085X
19,Crafts for All Seasons - Creating with Mosaics,http://ecx.images-amazon.com/images/I/61ZZRMDSFCL.jpg,"A springtime bouquet of paper flowers. Salt-dough picture frame gifts. A beautiful wreath of dried autumn leaves. These are just a few of the wonderful crafts you can create for holidays, celebrations, and gifts throughout the year! The 8-vol. <I>Crafts for All Seasons</I> set combines creativity with crafts that are fun and easy to do. And each project features materials that are both inexpensive and easy to find. Simple and satisfying, these books are perfect for kids on their own, or younger children with help from their parents or teachers.",Anna Freixenet,Arts & Photography,1567114407
20,The Wolf Man vs. Dracula: An Alternate History for Classic Film Monsters,http://ecx.images-amazon.com/images/I/51lIV0g%2Br7L.jpg,"Following Phantom of the Opera (1943), in the middle of the Silver age of Universal Studio's monster movies, a new sequel to Frankenstein Meets the Wolfman was considered for a Technicolor production: Wolfman vs Dracula! Lon Chaney Jr., who was the only actor to portray Universal's four classic monster roles; Dracula, frankenstein's monster, the mummy and the wolfman. At first Chaney was to play both roles, as his father Lon Chaney Sr. had done in several of his famous silent films. But Larry Talbot in his human phase would look exactly like Count Dracula so the role of Dracula was given to it's originator Bela Lugosi. A script was prepared by Bernard Shubert, who had written the screenplay for Tod Browning's London After Midnight(MGM 1927) remake Mark of the Vampire (MGM 1935). Shubert kept the settings very tight in its scenes, to keep the cost down to balance out for the extra expense of technicolor. But by 1944 Bela Lugosi was in his 60s and would have had to play part of his role as a giant bat much like in the Copolla Bram Stoker's Dracula in the 90s - and that would have been too much for him. And they couldn't have the Wolfman fighting an animated bat much like John Carradine's depiction of the Count or even Lugosi's portrayal in Abbott and Costello Meet Frankenstein. So they decided to make one of their Arabian Nights film on the Technicolor contract and all that remained of Wolfman vs Dracula are some color 8x10s of Chaney in both parts. This volume has a short biography of screenwriter/TV producer Bernard Shubert and comments from Shubert and special effects cinematographer David Stanley Horsley.",Philip J. Riley,Humor & Entertainment,1593934777
21,The Chemistry of Contrast Agents in Medical Magnetic Resonance Imaging,http://ecx.images-amazon.com/images/I/51ZymEIrhbL.jpg,"<p>Magnetic Resonance Imaging (MRI) is one of the most importanttools in clinical diagnostics and biomedical research. The numberof MRI scanners operating around the world is estimated to beapproximately 20,000, and the development of contrast agents,currently used in about a third of the 50 million clinical MRIexaminations performed every year, has largely contributed to thissignificant achievement.</p><p>This completely revised and extended secondedition:<i>&#160;</i></p><ul> Includes new chapters on targeted, responsive, PARACEST andnanoparticle MRI contrast agents.</li> Covers the basic chemistries, MR physics and the most importanttechniques used by chemists in the characterization of MRI agentsfrom every angle from synthesis to safety considerations.</li> Is written for all of those involved in the development andapplication of contrast agents in MRI.</li> Presented in colour, it provides readers with truerepresentation and easy interpretation of the images.&#160;</li></ul><p>A word from the Authors:</p><p><i>Twelve years after the first edition published, we areconvinced that the chemistry of MRI agents has a bright future. Byassembling all important information on the design principles andfunctioning of magnetic resonance imaging probes, this book intendsto be a useful tool for both experts and newcomers in the field. Wehope that it helps inspire further work in order to create moreefficient and specific imaging probes that will allow materializingthe dream of seeing even deeper and better inside the livingorganisms.</i></p><p><i>Reviews of the First Edition:</i></p><p>""...attempts, for the first time, to review the whole spectrumof involved chemical disciplines in thistechnique...""&#8212;Journal of the American Chemical Society</p>""...well balanced in its scope and attention to detail...a valuableaddition to the library of MR scientists...""&#8212;NMR inBiomedicine",Andre S. Merbach,Science & Math,1119991765
22,"Honesty, Morality, and Conscience: Making Wise Choices in the Gray Areas of Life",http://ecx.images-amazon.com/images/I/41mT0bYPbZL.jpg,"In Honesty, Morality, and Conscience, Navigator author Jerry White takes a hard look at some of life’s gray areas. Examining the origin and depth of our conscience, our moral compass, and truthful living, he explains how God has given us everything we need to face the ethical questions of today in all areas of our lives. Explore issues of identity, integrity, and accountability as you look at your sources for discernment and wisdom. This great leadership and character-building tool includes discussion questions.",Jerry White,Religion & Spirituality,1600062180
23,2015 Gal's Guide 16 Month Spiral Planner,http://ecx.images-amazon.com/images/I/41QdrNIwz9L.jpg,"Exercise, nutrition, organization and beauty tips are among the many helpful tips inside this unique planner. Keep track of your life with weekly and month-at-a-glance planning pages, handy reference guides and more. The planner starts in September 2014 and takes you through December 2015. Includes protective plastic cover with pocket. All calendar pages are printed on FSC certified paper and use environmentally safe inks.",TF PUBLISHING,Calendars,1579003990
24,Ninjutsu (Martial and Fighting Arts),http://ecx.images-amazon.com/images/I/51Fujt86mML.jpg,"Discusses the origins, training, and techniques of the ancient Japanese secret warriors known as ninja.",Eric Chaline,Teen & Young Adult,1590843983
25,God's Inspirational Promises,http://ecx.images-amazon.com/images/I/51oVZYbXzLL.jpg,"<P><B>Wherever you are in life, wherever you are in the world, God’s promises remind you that He is always near.</B></P><P>God wants us to know He is in the midst of wherever we are, whatever we’re doing. And He does this by speaking directly to us through His Word. The Bible was written to each of our needs, our hopes, and our dreams. </P><P>With over 1.2 million copies sold, <I>God’s Inspirational Promises</I> is a classic seller now with a brand-new, updated look. The compilation of verses speak specifically to topics we all relate to: living in a lost world, strong personal relationships, wisdom, guidance, worry, grace, and many more. Heartwarming writings from Max’s bestselling works accompany each selection of Scripture. </P>",Max Lucado,Christian Books & Bibles,140032176X
26,Essentials of Strategic Planning in Healthcare,http://ecx.images-amazon.com/images/I/41EYlj0lBpL.jpg,"<i>Essentials of Strategic Planning in Healthcare</i> introduces readers to the factors influencing the strategic planning process in hospitals and other health services institutions. Structured around a comprehensive case study and accompanying end-of-chapter exercises, this text places readers in the planner's seat, asking them to apply what they have learned to lead the hospital in the case study to success.<P><b>Topics covered include:</b><BR>The role leadership plays in strategic planning<BR>Organizational factors critical to strategic planning<BR>Completing a SWOT analysis<BR>Analytical tools that support strategic planning<BR>key data sources available to planners<BR>Strategic opportunities presented by pay-for-performance initiatives<BR>Communicating the strategic plan to multiple stakeholders<BR>Linking the strategic plan to operating performance<BR>Physician involvement in strategic planning<BR>Strategic planning initiatives across the continuum of care<BR>Hospital-physician integration models<BR>Factors affecting strategic planning in the post-acute care industry<BR>The relationship between healthcare value and strategic planning",Jeffrey P. Harrison,Medical Books,1567933483
27,Deep Time,http://ecx.images-amazon.com/images/I/51QawJkjJeL.jpg,"What would it be like to see the whole history of the universe, from the moment of creation to the farthest future? Deep Time shows us - through the eyes of a single particle that emerges from the fires of genesis then journeys across countless billions of years to glimpse the ultimate fate of the cosmos. Along the way, we watch the formation of stars and galaxies, narrowly avoid falling into a black hole, witness the birth of the sun and earth, trace the evolution of life and intelligence, and blast off into space again with our particle now part of the Voyager 2 spacecraft. Then we travel on, across immense vistas of space and time, toward the end of all things - and a strange new beginning."" David Darling is the author of about 50 books, including narrative science titles Megacatastrophes!, We Are Not Alone, Gravity's Arc, Equations of Eternity, a New York Times Notable Book, and Deep Time. He is also the author of Teleportation: The Impossible Leap, Zen Physics, The Universal Book of Astronomy, The Complete Book of Spaceflight, and The Universal Book of Mathematics, as well as more than 30 children's books. His articles and reviews have appeared in Astronomy, Omni, Penthouse, New Scientist, the New York Times, and the Guardian among others. He has lectured widely, including at the Royal Institution in London. David Darling was born in Glossop, Derbyshire, England, lived in the United States for many years, and now lives in Dundee, Scotland. He earned his B.Sc. in physics from Sheffield University in 1974 and his Ph.D. in astronomy from Manchester University in 1977. David Darling is also a professional singer/songwriter and runs a major science website. Please visit the Worlds of David Darling - www.daviddarling.info Keywords - Universe, Astrophysics, Astronomy, Particle, Space, Cosmos, Evolution, David Darling, Sun, Earth, Travel",David Darling,Law,1622873238
28,Leadership and Self-Deception: Getting Out of the Box,http://ecx.images-amazon.com/images/I/51hSs60iPWL.jpg,"Since its original publication in 2000, <i>Leadership and Self-Deception</i> has become a word-of-mouth phenomenon. Its sales continue to increase year after year, and the book&rsquo;s popularity has gone global, with editions now available in over twenty languages. <br><br> Through a story everyone can relate to about a man facing challenges on the job and in his family, the authors expose the fascinating ways that we can blind ourselves to our true motivations and unwittingly sabotage the effectiveness of our own efforts to achieve success and increase happiness. <br><br> This new edition has been revised throughout to make the story even more compelling. And drawing on the extensive correspondence the authors have received over the years, they have added a section that outlines the many ways that readers have been using <i>Leadership and Self-Deception</i> to improve their lives and workplaces&mdash;areas such as team building, conflict resolution, and personal growth and development, to name a few.<br><br> Read this extraordinary book and discover what millions already have learned&mdash;how to consistently tap into an innate ability that dramatically improves both your results and your relationships.",Arbinger Institute,Business & Money,1576759776
29,Football in the Big East Conference (Inside College Football),http://ecx.images-amazon.com/images/I/6102awwmrrL.jpg,"Presents a history of the Big East Conference, including the mascots, key coaches, and top players of the group of college football teams from the East.",Adam B. Hofstetter,Teen & Young Adult,1404219234
30,American Trivia Quiz Book,http://ecx.images-amazon.com/images/I/51erjKLkBIL.jpg,"<p>American Trivia Quiz Book</p><p>Just How Much Do You Know About Our Great Nation?</p> <p>Recent surveys reveal that more Americans can name at least two members of the Simpsons&rsquo; cartoon family than can name the first four American presidents in order. Richard Lederer and Caroline McCullagh have written the American Trivia Quiz Book to make your knowledge of our nation&rsquo;s history at least match the nation&rsquo;s knowledge of The Simpsons.</p> <p>The American Trivia Quiz Book brims with fascinating facts about the people, places, and events that make our nation great, with a series of fun and informative quizzes on subjects ranging from Columbus to baseball. There are questions about presidents and first ladies, explorers and inventors, heroes and poets. Impress (and stump) your friends with your knowledge of all things American. In the process, you&rsquo;ll find our national gifts of life, liberty, and the pursuit of happiness to be even more precious.</p> <p>Richard Lederer, Ph.D., is the author of more than 40 books about language, history, and humor, including his best-selling Anguished English series and Presidential Trivia and American Trivia. He has been profiled in magazines as diverse as The New Yorker, People, and the National Inquirer, and is founding cohost of A Way with Words on public radio. Dr. Lederer&rsquo;s syndicated column, &ldquo;Lederer on Language,&rdquo; appears in newspapers and magazines throughout the United States. He has been elected International Punster of the Year and Toastmasters International&rsquo;s Golden Gavel winner.</p> <p>Caroline McCullagh, coauthor of American Trivia, earned a master&rsquo;s degree in anthropology from the University of California, San Diego. Her diverse writing projects include four novels, a cookbook, a student opera (under the auspices of San Diego Opera), and nine years of monthly garden book reviews for the San Diego Horticultural Society. She also teaches creative writing to seniors two days a week.</p>",Richard Lederer,Humor & Entertainment,1423637267
31,"Case Closed, Vol. 3",http://ecx.images-amazon.com/images/I/51BWXV3CKWL.jpg,"Jimmy, Rachel and Richard take a vacation aboard a cruise ship, but little do they know that the patriarch of the wealthy Hatamoto family is about to be murdered.With the perpetrator still aboard ship can you figure out whodunit before Conan does!?",Gosho Aoyama,Comics & Graphic Novels,159116589X
32,"The Wave in the Mind: Talks and Essays on the Writer, the Reader, and the Imagination",http://ecx.images-amazon.com/images/I/51fqYBsmJ7L.jpg,"Join Ursula K. Le Guin as she explores a broad array of subjects, ranging from Tolstoy, Twain, and Tolkien to women's shoes, beauty, and family life. With her customary wit, intelligence, and literary craftsmanship, she offers a diverse and highly engaging set of readings. <i>The Wave in the Mind </i> includes some of Le Guin's finest literary criticism, rare autobiographical writings, performance art pieces, and, most centrally, her reflections on the arts of writing and reading.",Ursula K. Le Guin,Science Fiction & Fantasy,1590300068
