,Title,Images,Summary,Aurthor,Category,ID
10,Inorganic Experiments,http://ecx.images-amazon.com/images/I/51tBNR9kh4L.jpg,"A classic brought up to date with new experiments using the latest methods. <br>Modern spectroscopic techniques and current research topics make this an incomparable resource for undergraduate and graduate students, presenting a fascinating approach to inorganic chemistry by providing experiments that resemble real research. As a result, students learn to think in a research-oriented fashion and to research together in a group.<br>The experiments have been thoroughly tested and safety instructions are included, while hazardous substances are replaced by less harmful ones. This new edition also has a special focus on environmentally friendly experiments. <br>",,Science & Math,3527324720
11,Computer Forensics InfoSec Pro Guide,http://ecx.images-amazon.com/images/I/512SZfcPgSL.jpg,"<h4>Security Smarts for the Self-Guided IT Professional</h4> <p>Find out how to excel in the field of computer forensics investigations. Learn what it takes to transition from an IT professional to a computer forensic examiner in the private sector. Written by a Certified Information Systems Security Professional, <i>Computer Forensics: InfoSec Pro Guide</i> is filled with real-world case studies that demonstrate the concepts covered in the book. <p>You’ll learn how to set up a forensics lab, select hardware and software, choose forensic imaging procedures, test your tools, capture evidence from different sources, follow a sound investigative process, safely store evidence, and verify your findings. Best practices for documenting your results, preparing reports, and presenting evidence in court are also covered in this detailed resource. <p><i>Computer Forensics: InfoSec Pro Guide</i> features:<ul>  Lingo―Common security terms defined so that you’re in the know on the job  IMHO―Frank and relevant opinions based on the author’s years of industry experience  Budget Note―Tips for getting security technologies and processes into your organization’s budget  In Actual Practice―Exceptions to the rules of security explained in real-world contexts  Your Plan―Customizable checklists you can use on the job now  Into Action―Tips on how, why, and when to apply new skills and techniques at work </ul>",David Cowen,Computers & Technology,007174245X
12,135 Gunstock Carving Patterns,http://ecx.images-amazon.com/images/I/51xZ3-uSIHL.jpg,"Create your own one-of-a-kind functional artwork that will be cherished for years to come with this treasury of 135 classic gunstock carving patterns. You're sure to find the best carving pattern here for your next project, from basic checkering to dramatic hunting-related scenes. Excellent choices are provided for every skill level, from beginner to expert, so you can start with a basic pattern and tackle more intricate designs as your experience in gunstock carving grows.",Lora Irish,"Crafts, Hobbies & Home",1565237951
13,Red Combines 1915-2015: The Authoritative Guide to International Harvester and Case IH Combines and Harvesting Equipment,http://ecx.images-amazon.com/images/I/51Sgpvpmw2L.jpg,"This award-winning book chronicles the complete story of the impact of the red combine on agriculture and society. Red Combines 1915-2015 includes photographs and details about every red combine built in the United States and abroad, and tells the story of the creation of the Axial-Flow combine, which was developed in a garage so secret only a few people knew it existed. The Axial-Flow combine was a technological leap that transformed the industry when introduced in 1977. The book covers the entire line of red combines, including the CBX, a top-secret mega-combine built in the 1990s. Authored by Lee Klancher and the team of talented contributors who created the award-winning Red Tractors 1958-2013, this through and entertaining book is another captivating volume sure to please fans of agricultural equipment and farm history.",Lee Klancher,Science & Math,193774745X
14,"iMovie: The Missing Manual: 2014 release, covers iMovie 10.0 for Mac and 2.0 for iOS",http://ecx.images-amazon.com/images/I/41PUL8JZbFL.jpg,"<div><p><b>This edition covers iMovie 10.0 for Mac and iMovie 2.0 for iOS.</b></p><p>iMovie's sophisticated tools make it easier than ever to turn raw footage into sleek, entertaining movies&#8212;once you understand how to harness its features. Experts David Pogue and Aaron Miller give you hands-on advice and step-by-step instructions for creating polished movies on your Mac, iPhone, or iPad. Dive in and discover why this is the top-selling iMovie book.</p><p>The important stuff you need to know</p><p/> <b>Get started.</b> Import footage, review clips, and create movies, using iMovie&#8217;s new, streamlined layout.</li> <b>Include stunning effects.</b> Introduce instant replays, freeze frames, fast-forward or slo-mo clips, and fade-outs.</li> <b>Add pro touches.</b> Create cutaways, picture-in-picture boxes, side-by-side shots, and green-screen effects.</li> <b>Make movies on iOS devices.</b> Tackle projects on your iPhone, iPad, or iPod Touch with our book-within-a-book.</li> <b>Produce stunning trailers.</b> Craft your own Hollywood-style &#8220;Coming Attractions!&#8221; previews.</li> <b>Share your masterpiece.</b> Quickly post movies to YouTube, Facebook, Vimeo, CNN iReport, and iTunes.</li> <b>Watch iMovie Theater.</b> Play your movies on any Apple gadget in iMovie&#8217;s new full-screen cinema.</li>",David Pogue,Humor & Entertainment,1491947322
15,About Dinosaurs/Acerca de Los Dinosaurios (We Both Read - Level 1-2 (Quality)) (Spanish Edition),http://ecx.images-amazon.com/images/I/61y8uPehzNL.jpg,Basic facts about dinosaurs are presented in a format designed to be read together by both parent and child.,Sindy McKay,Children's Books,1601150504
16,"The Attack on Pearl Harbor: December 7, 1941 (24-Hour History)",http://ecx.images-amazon.com/images/I/51uZj-cJRkL.jpg,"President Franklin D. Roosevelt famously called December 7, 1941 “a date which will live in infamy.” Follow the soldiers and politicians, both in the US and Japan, through the course of this awful day which marked the United States’ entrance into World War II. This graphic nonfiction book tells the story of this fateful day.",Nel Yomtov,Children's Books,1432992996
17,THE P08 LUGER PISTOL (Propaganda Photo),http://ecx.images-amazon.com/images/I/51DZRYuqjnL.jpg,"The third volume of the Propaganda Photo Series, a unique series of books on World War II small arms. Each volume covers all essential information on history & development, ammunition & accessories, codes & markings and contains photos of nearly every model and accessory.<br/><br/>The most important quality of the Propaganda Photo Series however, is a unique selection of original German World War II propaganda photos, most never published before. The combination of solid information and original photos makes the Propaganda Photo Series the most extensive and reliable source of German small arms ""in-use"", depicting the weapons and equipment as they were actually used.<br/><br/>The P08 Luger pistol is probably the most famous pistol ever and has been the subject of a long list of publications. This book gives a concise history of the pistol (including production, codes and markings), its variants and accessories, but also offers new information on stocks, magazines and intended successors. Many new and special pictures.",Guus De Vries,History,9080558354
18,Triathlon Training Basics,http://ecx.images-amazon.com/images/I/51NEZd0P6HL.jpg,"<DIV>Triathlon Training Basics contains all the information that new triathletes need in order to successfully complete a sprint or an Olympic distance triathlon. Written by Gale Bernhardt, Triathlete columnist, member of the USA Triathlon 2004 Olympic Team Selection Committee, and certified Elite Level Triathlon and Cycling Coach trainer, the book contains detailed training plans that are tailored to different levels of fitness in each of the swim, bike, and run categories. Strength training and stretching portions are included to illustrate proper form and the last chapter deals with injury prevention and treatment.",Gale Bernhardt,"Health, Fitness & Dieting",1931382255
19,"Family Law for Paralegals, Sixth Edition (Aspen College)",http://ecx.images-amazon.com/images/I/51UggDE5AdL.jpg,"Thoughtful and carefully-written, <b>Family Law for Paralegals</b> presents the nuts-and-bolts in a relevant historical framework with exposure to some of the most dynamic issues in family law today. The comprehensive coverage balances the basic issues of marriage and divorce with cutting-edge concerns such as non-marital families, child abuse and neglect, and same-sex marriage. Helpful real-life examples and sample forms show students what they will encounter in practice. Useful pedagogy helps students develop their critical thinking and writing skills, and a range of assignments in each chapter provides practice in research, analysis, memo-writing, and argumentation. </p> <p> Fresh new cases enliven the <b>Sixth Edition</b>. New material features changes in the law relating to same-sex marriage as well as technological innovations such as e-filings for divorce. A new discussion of divorce and military families is presented, and issues related to international families are explored. The <b>Sixth Edition</b> covers all the new rulings on the Defense of Marriage Act (DOMA.) </p> <p> <b>Features: </b> </p> <ul>   nuts-and-bolts of family law in relevant<b> historical framework </b> with exposure to dynamic, <b>contemporary issues</b> </li>   <b>comprehensive coverage</b> <ul>   fundamental issues of marriage and divorce </li>  cutting-edge concerns: non-marital families, child abuse and neglect, and same-sex marriage </li> </ul> </li>   <b>real-life examples </b>and <b>sample forms </b>preview actual practice </li>   useful<b> pedagogy </b>helps students develop <b>critical thinking and writing skills</b> <ul>   summaries </li>   key terms </li>   review and discussion questions </li> </ul> </li>   range of <b>assignments</b> for practice in research, analysis, memo writing, and argumentation </li> </ul> <p> <b>Thoroughly updated, the revised Sixth Edition presents:</b> </p> <ul>   <b>fresh new cases</b> </li>   current changes in the laws relating to <b>same-sex marriage</b> </li>   new coverage of<b> technological innovations</b>, such as e-filings for divorce </li>  discussion of <b>divorce and military families</b> </li>  legal issues related to<b> international families</b> </li>  new rulings on the <b>Defense of Marriage Act (DOMA)</b> </li> </ul>",J. Shoshanna Ehrlich,Law,1454816481
20,Taste of Home Slow Cooker: 431 Hot & Hearty Classics,http://ecx.images-amazon.com/images/I/61xibSuht8L.jpg,"This new edition of the Taste of Home Slow Cooker Cookbook includes 431 hot &amp; hearty classics,&nbsp; With a just a hint of planning, an incredible meal can simmer to perfection on its own while you&rsquo;re at work, running errands, or spending time with the family.<BR><BR>There&#8217;s nothing like the aroma of a home-cooked dinner welcoming you at the door. Preparing those mouthwatering meals is a snap with the 431 comforting recipes in <i>Taste of Home Slow Cooker</i>. With a just a hint of planning, an incredible meal can simmer to perfection on its own while you&#8217;re at work, running errands, or spending time with the family. Best of all, most of the entrees are meal-in-one specialties, so you can set dinner on the table in a flash. Chapters include recipes for:<BR> <BR> <ul>   <b>Beef, Pork, and Poultry:</b> Sweet and Savory Brisket,Chicago-Style Beef Sandwiches, Ham Tetrazzini, Cranberry Turkey Breast with Gravy </li>   <b>Soups, Stews & Chili</b><b>:</b> Cincinnati Chili, No-Fuss Potato Soup, Everything Stuffing, Shrimp Marinara</li>   <b>New Lightened Up</b> chapter contains dozens of lightened-up takes on beloved classics: meat loaf, creamy artichoke dip, beef stew, sloppy joes and even dessert.</li>   <b>Sweets, Snacks & Drinks</b> chapter makes entertaining so easy with best-loved meatballs, dips and snacks, hot drinks, delectable desserts and more.</li> </ul> And because it&#8217;s Taste of Home, you&#8217;ll also find:<BR> <ul>   A beginner-friendly overview of the basics of slow cooking</li>   Easy-to-follow directions with cooking tips throughout</li>   Prep/Cook times</li>   Recipes made with everyday ingredients</li> </ul> <BR> <b>CHAPTERS</b><BR> Beef<BR> Pork<BR> Poultry<BR> Other Entrees<BR> Soups, Stews & Chili<BR> Side Dishes<BR> Sweets, Snacks & Drinks<BR> Ligthened Up <BR> <BR> <b>RECIPES</b><BR> Sweet and Savory Brisket<BR> Chicago-Style Beef Sandwiches<BR> Ham Tetrazzini<BR> Cranberry Turkey Breast with Gravy<BR> Spinach Alfredo Lasagna<BR> Stamp-of-Approval Spaghetti Sauce<BR> Vegetarian Chili Ole!<BR> Stuffing from the Slow Cooker<BR> Seafood Cheese Dip<BR> Apple Betty with Almond Cream",Taste Of Home,"Cookbooks, Food & Wine",1617652172
21,"DK Eyewitness Travel guide:Brussels, Bruges, Ghent & Antwerp",http://ecx.images-amazon.com/images/I/51ntxd7squL.jpg,"<b><i>DK Eyewitness Travel Guide: Brussels, Bruges, Ghent and Antwerp</i></b> is your indispensable guide to this beautiful part of the world. The fully updated guide includes unique cutaways, floor plans and reconstructions of the must-see sites, plus street-by-street maps of the major cities. The new-look guide is also packed with photographs and illustrations leading you straight to the best attractions. <p>The uniquely visual <i>DK Eyewitness Travel Guide</i> will help you to discover everything city-to-city, from local festivals and markets to day trips around the countryside. Detailed listings will guide you to the best hotels, restaurants, bars, and shops for all budgets, while detailed practical information will help you to get around, whether by train, bus, or car. Plus, DK's excellent insider tips and essential local information will help you explore every corner of Brussels, Bruges, Ghent and Antwerp effortlessly.</p> <p>With hundreds of full-color photographs, hand-drawn illustrations, and custom maps that brighten every page, <b><i>DK Eyewitness Travel Guide: Brussels, Bruges, Ghent and Antwerp</i></b> truly shows you this region as no one else can.</p>",,Travel,140936870X
22,"The History of MeteoriticsAnd Key Meteorite Collections: Fireballs, Falls & Finds (Geological Society Special Publication) (No. 256)",http://ecx.images-amazon.com/images/I/51J2Mrh9b%2BL.jpg,"This Special Publication has 24 papers with an international authorship, and is prefaced by an introductory overview which presents highlights in the field. The first section covers the acceptance by science of the reality of the falls of rock and metal from the sky, an account that takes the reader from BCE (before common era) to the nineteenth century. The second section details some of the worlds most important collections in museums - their origins and development. The Smithsonian chapter also covers the astonishingly numerous finds in the cold desert of Antarctica by American search parties. There are also contributions covering the finds by Japanese parties in the Yamato mountains and the equally remarkable discoveries in the hot deserts of Australia, North Africa, Oman and the USA. The other seven chapters take the reader through the revolution in scientific research on meteoritics in the later part of the twentieth century, including terrestrial impact cratering and extraordinary showers of glass from the sky; tektites, now known to be Earth-impact-sourced. Finally, the short epilogue looks to the future. The History of Meteoritics and Key Meteorite Collections should appeal to historians of science, meteoriticists, geologists, astronomers, curators and the general reader with an interest in science.<P>Also available:<P> History of Palaeobotany - ISBN 1862391742<BR> The Earth Inside and Out: Some Major Contributions to Geology in the Twentieth Century - ISBN 1862390967<BR> Meteorites: Flux With Time and Impact Effects - ISBN 1862390177",A. J. Bowden,Science & Math,1862391947
23,"All Rome: Forums, Churches, Museums, Monuments, Fountains, The Vatican, The Sistine Chapel, Tivoli, Ostia Antica",http://ecx.images-amazon.com/images/I/51lsEXU2ysL.jpg,"This large-format paperback acts as a guide and a souvenir of a trip to the city of Rome. It attempts to recapture the spirit of the ancient world, by re-appraising and re-constructing the historical events in the public and private life of a city-state like Rome, by studying its monuments and its remains. Apart from the pictures, the book provides a text that covers the forums, churches, museums, fountains, the Vatican, the Sistine Chapel, Tivoli, Ostia Antica and all the masterpieces of creativity that can be seen in the city.",Vittorio Serra,Travel,8872040876
24,Down and Derby: The Insider's Guide to Roller Derby,http://ecx.images-amazon.com/images/I/51sh6hRbHDL.jpg,"<DIV>When most Americans hear the words &#147;roller derby&#8221; today, they think of the kitschy sport once popular on weekend television during the seventies and eighties. Originally an endurance competition where skaters traveled the equivalent of a trip between Los Angeles and New York, derby gradually evolved into a violent contact sport often involving fake fighting. But after nearly dying out in the nineties, derby has been making a comeback. From a mere handful of leagues in the United States just a few years ago, there are now more than 17,000 skaters in more than 400 leagues around the world, with hundreds of thousands of die-hard fans. <I>Down and Derby</I> will tell you everything you ever wanted to know about the sport. Written by veteran skaters as both a history and a how-to, <I>Down and Derby</I> is a brassy celebration of every aspect of the sport, from its origins in the late 1800s, to the rules of a modern bout, to the science of picking an alias, to the many ways you can get involved off skates.<BR>Informative, entertaining, and executed with the same tough, sassy, DIY attitude &#151; leavened with plenty of humor &#151; that the sport is known for, <I>Down and Derby</I> is the first and last book on derby you&#8217;ll ever need.",Alex Cohen,Sports & Outdoors,1593762747
25,Milady's Skin Care and Cosmetic Ingredients Dictionary,http://ecx.images-amazon.com/images/I/51TDU4LH5LL.jpg,"The second edition of this thorough reference is an invaluable tool for assessing cosmetic products, addressing both the quality of the product and the effect it has on the skin. Since a product's ultimate purpose is to benefit the skin, it is crucial to have an understanding of how the skin works, how and why a product may or may not penetrate it, and what care individual skin types and conditions may require. It is difficult to discuss product ingredients without correlating product performance to skin function. An expanded section on skin physiology and chemical concepts enables the reader to better understand product performance through a thorough explanation of how chemicals and ingredients interact. The various skin types, conditions, and appropriate ingredients for treatments provide a quick reference to address clients' needs. This enlarged second edition contains over 2,000 ingredients including 200 new and updated entries. Expanded information on antioxidants and their stability, new discussion on aging and sensitive skin, and function of SPF and new sunblock ingredients offering full spectrum sunscreen and sunblock for both UVA and UVB rays has been added. A complete glossary of terms found in the skin physiology section familiarizes readers with the terminology used by chemists, and an appendix cross-referencing Latin botanical names with commonly used names complete this reference.",Natalia Michalun,"Health, Fitness & Dieting",1562536605
26,Winter Backpacking: Your Guide to Safe and Warm Winter Camping and Day Trips,http://ecx.images-amazon.com/images/I/515OIF1P9VL.jpg,"Backpacking in the winter months can be exhilarating, refreshing, and--with the help of this book--remarkably safe and comfortable too! All it takes is some good planning and learning some tricks to keep warm, dry and happy.",Ben Shillington,Sports & Outdoors,1896980414
27,The Truth About Beauty: Transform Your Looks And Your Life From The Inside Out,http://ecx.images-amazon.com/images/I/51x4jf3Q7%2BL.jpg,"Nationally renowned holistic beauty and self-transformation expert Kat James shares her own story of dramatic transformation, and its faithful translation into a series of myth-shattering lifestyle upgrades that can begin to visibly transform how one looks, feels, and even thinks in a matter of days. Based on her own stunning transformation employing science and strategy instead of suffering, this is the true extreme makeover from the inside out.<BR><BR>Are You Ready To Be Transformed?<BR> <BR> Fully updated, featured re-release! Includes new information, personal stories, and delicious recipes.<BR> <BR> Beauty is not about hard work after all&#8212;if you have the right tools. This revolutionary guide peels away the layers of conventional body and beauty wisdom to uncover the crucial missing information needed for real transformation. nationally renowned beauty and holistic health expert kat James reveals the life-altering secrets she discovered after more than a decade of self-destructive living, and an eating disorder that almost took her life.<BR> <BR> Based on breaking science and her own remarkable metamorphosis, <i>The Truth About Beauty</i> represents the most comprehensively researched, inside-out beauty guide to date. In this book you will discover the real power tools for dramatic, healthy self-transformation without drugs, surgery, harsh regimens, or deprivation.<BR> <BR> In this fully updated and expanded fifth-anniversary edition, you will find more than one hundred new pages of information and hard-to-find resources, including book-wide chart updates, incredible new success stories, and&#8212;by demand&#8212;Kat's Six-Day Jumpstart menu and Recipe Collection from her acclaimed Total Transformation&#174; programs!<BR> <BR> Transform yourself by upgrading selfsabotaging choices into &#8220;pro-beauty&#8221; choices.<BR> <BR> Shut off weight gain, inflammation, and food addiction by correcting your chemistry (not by counting calories).<BR> <BR> Get back your &#8220;virgin skin&#8221; by getting off the merry-go-round of problem causing product regimens and taking a smarter, inside-out approach to chronic issues.<BR> <BR> Discover the most exciting, proven natural antiaging nutrients and strategies.<BR> <BR> Access a powerful arsenal of standout foods, supplements, and cosmeceuticals that <i>Marie Claire</i> calls &#8220;worth their weight in gold.&#8221;",Kat James,"Health, Fitness & Dieting",1582701954
28,"Nashville, Tennessee: A Photographic Portrait",http://ecx.images-amazon.com/images/I/51mGT34Dr-L.jpg,"Nashville, Tennessee is a city flavored with history, culture, and beauty. Photographer David Bailey invites you to come and walk down Adelicia Acklen's staircase, enjoy the views from atop Fort Negley, cheer at a Tennessee Titans game, or listen in on music legends at the Country Music Hall of Fame and Museum. Nashville, Tennessee: A Photographic Portrait will have you visiting Nashville again and again.",David Bailey,Travel,1934907014
29,Colorado 2015 Wall Calendar (Roadtrip USA),http://ecx.images-amazon.com/images/I/615hDmyUAaL.jpg,"<p>The large format wall calendar features daily grids with ample room for jotting appointments, birthdays and personal reminders.</p> <p>Also includes four bonus months of September through December 2014; moon phases, and U.S. and international holidays.</p>",Willow Creek Press,Calendars,1623434254
30,Nursing2016 Drug Handbook (Nursing Drug Handbook),http://ecx.images-amazon.com/images/I/51o2FpP%2Bb2L.jpg,"<div>The 36th edition of the best-selling, original drug handbook for nurses provides complete monographs for more than 900 generic and thousands of&#160;brand-name drugs.&#160;Monographs are consistently formatted for ease of use and&#160;focus on the practical information that nurses need.&#160;Each monograph consists of generic and trade names, pronunciation key, pregnancy risk category, pharmacologic class, controlled substance schedule (if applicable), available forms,&#160; indications and dosages, administration (with drug incompatibities for I.V. drugs), action (including tables showing route, onset, peak, duration, and half-life), adverse reactions, interactions, effects on lab test results, contraindications, nursing considerations, and patient teaching.<BR><BR> Also includes chapters on general drug information (pharmacology/pharmacotherapeutics, pharmacogenomics, safe drug administration, therapeutic classifications), numerous appendices, and new easy-to-spot symbols for Canadian drugs (maple leaf) and Do Not Crush (DNC) drugs. Text is complemented by free Toolkit containing hundreds of online resources.<BR><BR> You can also count on <B><I>Nursing2016 Drug Handbook</I></B> to tell you unapproved, off-label drug uses so you&rsquo;ll always know why a drug is prescribed. And, this year, be a more confident nurse with fingertip access to &hellip;<BR> &bull; 32 NEW FDA-approved drugs<BR> &bull; NEW!&#160;Appendices on Serotonin syndrome, Tumor lysis syndrome, and the Nursing Process and Drug Therapy<BR> &bull; NEW! Appendices on Canadian drugs and safety concerns: Do Not Use chart (ISMP Canada), Decision Tree, Canadian National Drug Schedules.",Lippincott,Medical Books,1469887045
