,Title,Images,Summary,Aurthor,Category,ID
10,"Barron's SAT Subject Test in U.S. History, 2nd Edition (Barron's Sat Subject Test U.S. History)",http://ecx.images-amazon.com/images/I/51%2BpQ5uZTHL.jpg,"This updated edition provides a number of tools to help students succeed on the SAT Subject Test in U.S. History:<BR><BR><LI>A Diagnostic Test to help students pinpoint their strengths and weaknesses<LI>Three full-length practice tests with all questions answered and explained<LI>An in-depth review of U.S. history, starting with European colonization of North America and covering major topics that include: The American Revolution, the Federalist Age, Expansion and the wars with Mexico, the Civil War and Reconstruction, Settlement of the West, U.S. involvement in World War I, the Great Depression and FDR's New Deal, World War II, the Civil Rights movement, the Vietnam era, American scientific and technological advances, Important Supreme Court cases, and much more<LI>Subject review quizzes with answer explanations following every five chapters<LI>Each content chapter in this new edition includes four additional items providing more in-depth review of major historical ideas<BR><BR>The manual can be purchased alone or with an optional CD-ROM that presents two additional full-length practice tests with automatic scoring and fully explained answers.",Kenneth Senter,Test Preparation,1438003110
11,I Am Rich Potosi: The Mountain That Eats Men,http://ecx.images-amazon.com/images/I/518SNqOf5hL.jpg,"The magnificent mountain of Potos&iacute; in Bolivia yielded more silver than any other mountain or region of the world. In the sixteenth and seventeenth centuries this wealth flowed through Spain into Europe and played an important role in the beginnings of the Industrial Revolution and trade with Asia. Yet the grueling work of extracting the silver was left to the indigenous population of the Andes, who were enslaved by the Spanish and died by the thousands on the mountain.<br><br> Today, Potos&iacute; maintains this unique culture, based on its epic history. Approximately eighteen thousand miners still work in or around the mountain, searching for trace amounts of silver and tin. Inside the mountain, miners worship their devil, who is represented as a sexually potent Spaniard, lord of the mineral realm. Photographer Stephen Ferry has made many trips to Potos&iacute; to document this ongoing drama. His color images describe this world, which echoes back to the birth of modern Europe yet is one of the poorest places in the Americas.<br><br> The text by Eduardo Galeano illuminates the complexity of the intersection of ancient rituals and the grandeur of the mountain and complements Ferry's powerful portrait of this fascinating area. Ferry's photographs are divided into four sections: the miners' carnival; work that still takes place in and around the rich mountain; major institutions of civic life in the city of Potos&iacute;; and the festival of Esprit?, in which miners sacrifice llamas to the devil within the mountain to appease his thirst for blood so that he will not take their lives with accidents or illness.",Stephen Ferry,Travel,158093028X
12,The Four Wars of 1812,http://ecx.images-amazon.com/images/I/51O0jrhXiiL.jpg,"<DIV>June 2012 marks the two hundredth anniversary of the outbreak of the War of 1812. Most people know the War of 1812 as the military conflict between Great Britain and the United States that lasted from 1812 until 1815, but the truth is that Canada, including Canadian First Peoples, and Native Americans were caught up in the war too. This highly visual book with photographs and maps supplied by the Canadian War Museum and text by distinguished historian Peter MacLeod, examines the War of 1812 from the diverse perspectives of American, British, Canadian, and Native participants. For Canadians, the War of 1812 was all about American invasions. For Americans, it was about standing up to Britain. For the British, it was an annoying sideshow to the Napoleonic Wars raging in Europe. For Native Americans, it was a desperate struggle for freedom and independence as they fought to defend their homelands. Canadians and Americans have used the War of 1812 as a source for nation-building narratives, centred on their stories of the war. But all four groups fought and remembered their own War of 1812. Viewing the conflict through the eyes of the four principal combatants will provide readers with a better appreciation of the War of 1812, a crucial event in Canadian history.<br><BR>The book's publication will coincide with the opening of a major corresponding exhibit at the Canadian War Museum about the War of 1812, which will run from June 15, 2012 to January 6, 2013.",D. Peter MacLeod,History,1771000503
13,The Age of Reason - Thomas Paine (Writings of Thomas Paine),http://ecx.images-amazon.com/images/I/41IgvXU3GLL.jpg,"An Unabridged Edition (Parts I and II) From 'The Writings Of Thomas Paine,' Edited By Moncure Conway With All Charts and Tables, Notes and Footnotes, To Include A Chronology Of Paine's Life",Thomas Paine,Politics & Social Sciences,1603863419
14,Joomla! 3 Beginner's Guide Second Edition,http://ecx.images-amazon.com/images/I/518WnHZ%2BupL.jpg,"<b>Build, develop, and manage a fully functioning, professional looking, and feature-rich website with the Joomla! CMS</b><h2>About This Book</h2><ul>  Build and maintain your own website quickly, easily, and efficiently, getting the most out of the fully revised Joomla content management system</li>  Learn all the necessary web building skills: from organizing your content to completely changing the site design</li>  Learn by doing: follow step-by-step instructions on how to create an example website that meets real-life requirements</li> </ul><h2>Who This Book Is For</h2><p>The Joomla! 3 Beginner's Guide Second Edition is the ultimate guide for web developers who wish to build upon their skills and knowledge on creating websites. Even if you're new to this subject, you won't have any difficulty understanding the clear and friendly instructions and explanations. No prior knowledge of HTML and CSS is required.</p><h2>What You Will Learn</h2><ul>  Discover how to create a feature-rich site that's easy to expand, customize, and maintain, without learning HTML and Cascading Style Sheets (CSS)</li>  Engage your web visitors and turn them into active users; enable users to register and add content</li>  Use templates to get your site to look just right by tweaking the CSS and customizing templates using your own logo, fonts, and colors</li>  Extend Joomla's capabilities by finding and installing must-have extensions that perfectly meet your purposes</li>  Get to know how to increase your site's visibility for search engines, applying search engine optimization (SEO) techniques</li> </ul><h2>In Detail</h2><p>Taking full advantage of all the new features and enhancements added to the 2014 release of Joomla 3, this practical guide starts by teaching you how to install Joomla. After a quick tour of the basic concepts and the new features, you'll build your very first site in no time by customizing Joomla's default sample site to fit your needs, replacing the logo, colors, menus, and content.</p> <p>You will learn how to organize the growing amount of content using Joomla's flexible system of categories and content tags. In the last couple of chapters, you go beyond the basics and will discover how to expand Joomla's capabilities. Finally, you will gain knowledge about search engine optimization (SEO), site security, and multilingual sites. Step-by-step, the Joomla! 3 Beginner's Guide Second Edition teaches you how to set up, customize, enhance, and maintain your website using Joomla!</p>",Eric Tiggeler,Computers & Technology,1783981504
15,"The Cast Iron Skillet Cookbook, 2nd Edition: Recipes for the Best Pan in Your Kitchen",http://ecx.images-amazon.com/images/I/51PAvGU9jiL.jpg,"With 95 delicious recipes, this bestselling classic cookbook shows home cooks how the cast iron skillet is the best pan in their kitchen. Fusing new and traditional recipes and gathering farm-fresh produce and ingredients, mother-daughter team Sharon Kramis and Julie Kramis Hearne will show you how to make delicious food in this versatile skillet. Recipes include: Dungeness Crab Cakes with Tarragon Aioli; Dutch Baby (puffed pancake with lemon and powdered sugar); Grilled Prosciutto-Wrapped Radicchio; and Warm Pear Upside Down Cake. This collection of recipes invites all cooks to get reacquainted with the original gourmet cooking tool.",Sharon Kramis,"Cookbooks, Food & Wine",1570619050
16,"Quilts from the House of Tula Pink: 20 Fabric Projects to Make, Use and Love",http://ecx.images-amazon.com/images/I/61OOqTiayIL.jpg,"<p>Inspired fabrics and designs await you in ""Quilts From the House of Tula Pink""!<p>Welcome to the world of cutting-edge fabric designer Tula Pink, where clever quilts show off fanciful fabric, and your imagination can be let out to play. Featuring fabrics that you know and love, Tula offers 20 patterns with her signature flair for color, design and original style. Between 10 amazing quilts and 10 extra-cool companion projects, you'll be inspired to play with fabric, color and design in a way like never before!<p>Step inside to find: <ul> 10 large quilt patterns, perfect for the bedroom or snuggling on the couch.</li> 10 accessory sewing projects, like an embroidered lampshade and a fabric cuckoo clock, to make your everyday life extraordinary.</li> Tips from Tula on choosing and combining fabrics, selecting a quilting motif, and even sketching your own fabric and pattern designs.</li> Step-by-step illustrations (hand-drawn by Tula herself) and super-simple sewing techniques for successful quilt making.</li></ul><p>Come on in to Tula's house for the ultimate in sewing, style and fabric innovation!",Tula Pink,"Crafts, Hobbies & Home",1440218188
17,Davenport's Florida Wills And Estate Planning Legal Forms,http://ecx.images-amazon.com/images/I/51jye2OQgUL.jpg,"This easy to read book written by attorneys and published by Davenport Press covers Florida law of Wills, estate planning, probate, patient's control of health care, inheritance taxes, family estate law, guardians for children, sharing control of children with others, and other related fields. Estate planning concerns how to control upon illness or death one's health care, end of life issues, estate taxes, money and property, children and dependents, and other matters. The legal forms to make legally binding documents that are in this book and can be downloaded free include: <br>Wills (to give property, name executor, pick guardians, and more), <br>Self-Proving Affidavit (to complete Will process), <br>Tangible Personal Property Lists (to outside a Will make lists of gifts), <br>Codicil (to modify Will), <br>Living Will (to name agent and instructions for end of life care), <br>Health Care Surrogate (to name surrogate and instructions for general health care), <br>Do-Not-Resuscitate Order (to tell paramedics and carers what care is not wanted), <br>Power of Attorney (to give someone power to act for you, like to buy and sell, see records, etc.), <br>Delegation of Parental Authority (to let other act as parent to temporarily control schooling, health care, and domestic care).",Alexander W Russell,Law,1494977079
18,Bone Densitometry and Osteoporosis,http://ecx.images-amazon.com/images/I/41Pn1QW-meL.jpg,"The diagnosis of osteoporosis and the determination of fracture risk has always been a challenge for radiologists, epidemiologists, and clinicians as well as oth­ er researchers and health care professionals working in the field. It is bone min­ eral density that is closely related to bone fragility, and the advent of techniques to quantitatively assess bone density has been welcomed. It has reduced the sub­ jectivity inherent to conventional radiologic assessment of osteoporosis. The on­ going technical process has made various techJ)iques to assess bone density wide­ ly available. However, these measurement techniques have also incurred some crit­ icism because bone densitometry has sometimes been applied without specific indications and without appropriate clinical ramifications. The purpose of this text is to provide a perspective on the current status of bone densitometry and ist relevance to osteoporosis diagnosis and management. Therefore, this book will give the reader an introduction to the nature of osteo­ porosis, its pathophysiology and epidemiology, and the clinical consequences of performing bone densitometry. Aside from standard bone densitometry, newer technologies such as quantitative ultrasound techniques, magnetic resonance imaging and bone structure analysis are discussed in the context of diagnosing osteoporosis.",,"Health, Fitness & Dieting",364280442X
19,"Avian Influenza (Monographs in Virology, Vol. 27)",http://ecx.images-amazon.com/images/I/41DaA%2BRboxL.jpg,"Because of its high impact on both animal and human health, avian influenza has become a matter of increasing public concern and growing scientific interest within the last decade. This volume gives an overview of the most important results of these research efforts and provides information about the ecology and epidemiology of avian influenza with particular emphasis on recent H5N1 outbreaks in China, Siberia and Europe. Several articles deal with new vaccination strategies, the use of antivirals and other control measures to combat outbreaks of avian influenza. Further chapters illustrate that molecular biology, culminating in the generation of influenza viruses by recombinant DNA technology, was instrumental in unravelling the roles of the viral hemagglutinin and polymerase as well as cellular signalling pathways and innate immunity in pathogenesis and interspecies transmission. Finally, the threat of a pandemic originating from avian influenza viruses is illustrated by the example of the Spanish influenza of 1918. This comprehensive publication on avian influenza viruses and their relevance for human influenza will be of great value to all influenza virologists, molecular biologists, public health scientists, veterinary virologists, ecologists, and scientists engaged in drug design and vaccine development.",,Medical Books,3805585012
20,Secret Garden Embroidery: 15 Projects for Your Stitching Pleasure (What Delilah Did),http://ecx.images-amazon.com/images/I/610iPcfvIxL.jpg,"<DIV>Welcome back to the magical world of What Delilah Did! Picking up where <I>Storyland Cross Stitch</I> left off, this enchanting stitchery guide follows Delilah as she comes upon a secret garden right next door&mdash;and meets its lively and eccentric owner. All the embroidered projects here capture the flora, fauna, and other wonderful curiosities that fill Delilah&#39;s newly discovered horticultural haven. Using a range of techniques, you can stitch birds, bees, blooming flowers, and other colorful, nature-inspired items.<BR />",Sophie Simpson,"Crafts, Hobbies & Home",1910231185
21,Freath of Bresh Air: use your body to re-direct yourself from anxiety to action,http://ecx.images-amazon.com/images/I/415U5M9MgCL.jpg,"In a sitcom there is a formula that matches our daily lives. The set ~ a workplace, coffee shop, or a New York City apartment. The characters ~ people come and go throughout the show. Everyday life situations ~ break ups, marriages, money trouble, kid trouble, miscommunication, frustration. Overcoming problematic life situations ~ usually with comedy. When a scene isn’t going “right” the director shouts “CUT.” This is what you will be doing when you re-direct your own life. You will be shouting “CUT” and re-directing your reaction, thus changing your experience in this one life to live. To navigate your way through this life, your vehicle is your body. What if you know certain actions which will prevent anxiety, help you walk through it or recover from the after effects? You’d likely feel more in control. There are ways to reduce anxiety/stress by using your own body to re-direct your reactions, thus controlling your anxiety instead of it controlling you.",Katrina Tabor Botimer,Self-Help,1517620902
22,Atlas of Remote Islands,http://ecx.images-amazon.com/images/I/41Sqtil%2BuUL.jpg,"<b>A rare and beautifully illustrated journey to fifty faraway worlds. </b> <br><br> There are still places on earth that are unknown. Visually stunning and uniquely designed, this wondrous book captures fifty islands that are far away in every sense-from the mainland, from people, from airports, and from holiday brochures. Author Judith Schalansky used historic events and scientific reports as a springboard for each island, providing information on its distance from the mainland, whether its inhabited, its features, and the stories that have shaped its lore. With stunning full-color maps and an air of mysterious adventure, <i>Atlas of Remote Island</i> is perfect for the traveler or romantic in all of us.",Judith Schalansky,Reference,014311820X
23,A Simple Guide to IBM SPSS: for Version 22.0,http://ecx.images-amazon.com/images/I/41VJnWOJ90L.jpg,"Completely up to date, the no-nonsense A SIMPLE GUIDE TO IBM SPSS: FOR VERSION 22.0, Thirteenth Edition, equips you with everything you need to know to get started with the newest version of SPSS for Windows. The guide's straightforward style frees learners to concentrate on learning basic statistical concepts, while still developing familiarity with SPSS. Step-by-step instruction quickly gets users up to speed, enabling them to begin using SPSS to conduct statistical analyses.",Lee A. Kirkpatrick,Computers & Technology,1305389905
24,Explore the Virgin Islands Fifth Edition,http://ecx.images-amazon.com/images/I/41P450SA95L.jpg,"Under the Rainbow <P>Another panorama awaits. Discover pristine beaches, special places, and superb dive sites and snorkeling spots. Traverse the historical route on St. Croix, hike St. Johns trails, dive the wreck of the Rhone, and sail Virgin Gordas North Sound. <P>Youll find essential infomation on planning your trip  whether youre roughing it in a tent camp, luxuriating in a resort, birdwatching, snorkeling, or island hopping, or staying put. Every facet of all of the islands of the US and British Virgin Islands is thoroughly covered. Learn about archaeological and historical sites, natural wonders, hotels and resorts, romantic small inns, camping, restaurants, nightlife, chartering and sailing, kayaking, surfing, hiking, birdwatching and golf. Dont miss out!",Harry S. Pariser,Travel,1893643530
25,What is Global Leadership?: 10 Key Behaviors that Define Great Global Leaders,http://ecx.images-amazon.com/images/I/41VFfVSxigL.jpg,"What is global leadership? It turns out that many companies around the world are missing a key point: that global leadership is distinctly different from the leadership skills needed in a domestic operation. The global economy requires a new set of leadership skills-imbued with a global mindset, multi-functional and effective across cultures and nationalities-that were not as critical even a decade ago. <BR><BR>In <i>What Is Global Leadership?, </i>the authors draw on cutting-edge research conducted by Aperian Global, including first-hand interviews with successful global leaders, which highlights ten key behaviors critical to international settings, such as cultural self-awareness, frame-shifting, and developing ""third-way solutions."" <BR><BR>In addition to providing a detailed description of each behavior, the authors demonstrate how these can be applied in the context of leadership development programs, executive coaching, global teams, and leader-led action learning. Whether one is leading an entire organization, a business unit, or a geographically dispersed team, this essential guide provides an important resource for developing global leadership talent.",Ernest Gundling,Business & Money,1904838235
26,Louise de la ValliÃ¨re (Oxford World's Classics),http://ecx.images-amazon.com/images/I/41wn5GBDheL.jpg,"<em>Louise de la Vallière</em> is the middle section of <em>The Vicomte de Bragelonne, or, Ten Years After</em>. Against a tender love story, Dumas continues the suspense which began with <em>The Vicomte de Bragelonne</em> and will end with <em>The Man in the Iron Mask</em>. Set during the reign of Louis XIV and filled with behind-the-scenes intrigue, the novel brings the aging Musketeers and d'Artagnan out of retirement to face an impending crisis within the royal court of France. This new edition of the classic English translation is richly annotated and places Dumas's invigorating tale in its historical and cultural context.<br><br><strong>About the Series: </strong>For over 100 years <strong>Oxford World's Classics </strong>has made available the broadest spectrum of literature from around the globe. Each affordable volume reflects Oxford's commitment to scholarship, providing the most accurate text plus a wealth of other valuable features, including expert introductions by leading authorities, voluminous notes to clarify the text, up-to-date bibliographies for further study, and much more.<br>",Alexandre Dumas,Literature & Fiction,019953845X
